Name,Platform,Year,Genre,Publisher
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
Uncharted 4: A Thief's End,PlayStation 4,2016,Action-adventure,Naughty Dog
Wii Sports,Wii,2006,Sports,Nintendo EAD
Halo 3,Xbox 360,2007,First-person shooter,Bungie
Grand Theft Auto IV,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action-adventure,Rockstar North
Call of Duty: Modern Warfare 2,"Microsoft Windows, PlayStation 3, Xbox 360",2009,First-person shooter,Infinity Ward
Alan Wake,Xbox 360,2010,Action-adventure,Remedy Entertainment
Guild Wars 2,Microsoft Windows,2012,MMORPG,ArenaNet
Grand Theft Auto V,"PlayStation 3, Xbox 360",2013,Action-adventure,Rockstar North
80 Days,"iOS, Android",2014,Interactive fiction,Inkle
Prune,"iOS, Android",2015,Puzzle,Joel McDonald
The Witness,"Microsoft Windows, PlayStation 4, Xbox One, iOS",2016,Puzzle,"Thekla, Inc."
The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD
Super Mario Galaxy 2,Wii,2010,Platformer,Nintendo EAD Tokyo
The Elder Scrolls V: Skyrim,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action role-playing,Bethesda Game Studios
Assassin's Creed III,"PlayStation 3, Xbox 360",2012,Action-adventure,Ubisoft Montreal
The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
Uncharted 4: A Thief's End,PlayStation 4,2016,Action-adventure,Naughty Dog
Pac-Man,"Arcade, Atari 2600",1983,Maze,Namco
NBA Jam,"Arcade, Game Gear, Sega Genesis, SNES, Game Boy, Sega CD",1994,Sports,Midway Games
Donkey Kong Country,SNES,1995,Platformer,Rare
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1996,Platformer,Rare
GoldenEye 007,Nintendo 64,1998,First-person shooter,Rare
The Legend of Zelda: Ocarina of Time,Nintendo 64,1999,Action-adventure,Nintendo EAD
Pokémon Stadium,Nintendo 64,2000,Strategy,Nintendo EAD
Tony Hawk's Pro Skater 2,"PlayStation, Microsoft Windows, Game Boy Color, Dreamcast",2001,Sports,Neversoft
Star Wars: Knights of the Old Republic,"Microsoft Windows, Xbox",2003,Role-playing,BioWare
Halo 2,Xbox,2004,First-person shooter,Bungie
Resident Evil 4,"GameCube, PlayStation 2",2005,Survival horror,Capcom
The Legend of Zelda: Twilight Princess,"GameCube, Wii",2006,Action-adventure,Nintendo EAD
BioShock,"Microsoft Windows, Xbox 360",2007,First-person shooter,Irrational Games
Fable II,Xbox 360,2008,Action role-playing,Lionhead Studios
Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog
